class_name,method_name,cluster
PetClinicApplication,main,cluster-5
BaseEntity,get Id,cluster-1
BaseEntity,is New,cluster-1
BaseEntity,set Id,cluster-1
NamedEntity,get Name,cluster-1
NamedEntity,set Name,cluster-1
NamedEntity,to String,cluster-1
Person,get First Name,cluster-1
Person,get Last Name,cluster-1
Person,set First Name,cluster-1
Person,set Last Name,cluster-1
PetValidator,supports,cluster-4
PetValidator,validate,cluster-4
Visit,get Date,cluster-1
Visit,get Description,cluster-1
Visit,set Date,cluster-1
Visit,set Description,cluster-1
Visit,Visit,cluster-1
VisitController,init New Visit Form,cluster-4
VisitController,load Pet With Visit,cluster-4
VisitController,process New Visit Form,cluster-4
VisitController,set Allowed Fields,cluster-4
VisitController,Visit Controller,cluster-4
CacheConfiguration,cache Configuration,cluster-1
CacheConfiguration,petclinic Cache Configuration Customizer,cluster-1
CrashController,trigger Exception,cluster-5
WelcomeController,welcome,cluster-5
Vet,add Specialty,cluster-2
Vet,get Nr Of Specialties,cluster-2
Vet,get Specialties,cluster-2
Vet,get Specialties Internal,cluster-2
Vet,set Specialties Internal,cluster-2
VetController,add Pagination Model,cluster-4
VetController,find Paginated,cluster-4
VetController,show Resources Vet List,cluster-4
VetController,show Vet List,cluster-4
VetController,Vet Controller,cluster-4
Vets,get Vet List,cluster-5
EntityUtils,get By Id,cluster-5
Owner,add Pet,cluster-0
Owner,add Visit,cluster-0
Owner,get Address,cluster-0
Owner,get City,cluster-0
Owner,get Pet,cluster-0
Owner,get Pet,cluster-0
Owner,get Pet,cluster-0
Owner,get Pets,cluster-0
Owner,get Telephone,cluster-0
Owner,set Address,cluster-0
Owner,set City,cluster-0
Owner,set Telephone,cluster-0
Owner,to String,cluster-0
OwnerController,add Pagination Model,cluster-3
OwnerController,find Owner,cluster-3
OwnerController,find Paginated For Owners Last Name,cluster-3
OwnerController,init Creation Form,cluster-3
OwnerController,init Find Form,cluster-3
OwnerController,init Update Owner Form,cluster-3
OwnerController,Owner Controller,cluster-3
OwnerController,process Creation Form,cluster-3
OwnerController,process Find Form,cluster-3
OwnerController,process Update Owner Form,cluster-3
OwnerController,set Allowed Fields,cluster-3
OwnerController,show Owner,cluster-3
Pet,add Visit,cluster-0
Pet,get Birth Date,cluster-0
Pet,get Type,cluster-0
Pet,get Visits,cluster-0
Pet,set Birth Date,cluster-0
Pet,set Type,cluster-0
PetController,find Owner,cluster-3
PetController,find Pet,cluster-3
PetController,init Creation Form,cluster-3
PetController,init Owner Binder,cluster-3
PetController,init Pet Binder,cluster-3
PetController,init Update Form,cluster-3
PetController,Pet Controller,cluster-3
PetController,populate Pet Types,cluster-3
PetController,process Creation Form,cluster-3
PetController,process Update Form,cluster-3
PetTypeFormatter,parse,cluster-4
PetTypeFormatter,Pet Type Formatter,cluster-4
PetTypeFormatter,print,cluster-4
