class_name,method_name,cluster
PetClinicApplication,main,cluster-0
BaseEntity,get Id,cluster-0
BaseEntity,is New,cluster-0
BaseEntity,set Id,cluster-0
NamedEntity,get Name,cluster-0
NamedEntity,set Name,cluster-0
NamedEntity,to String,cluster-0
Person,get First Name,cluster-0
Person,get Last Name,cluster-0
Person,set First Name,cluster-0
Person,set Last Name,cluster-0
PetValidator,supports,cluster-0
PetValidator,validate,cluster-0
Visit,get Date,cluster-0
Visit,get Description,cluster-0
Visit,set Date,cluster-0
Visit,set Description,cluster-0
Visit,Visit,cluster-0
VisitController,init New Visit Form,cluster-0
VisitController,load Pet With Visit,cluster-0
VisitController,process New Visit Form,cluster-0
VisitController,set Allowed Fields,cluster-0
VisitController,Visit Controller,cluster-0
CacheConfiguration,cache Configuration,cluster-0
CacheConfiguration,petclinic Cache Configuration Customizer,cluster-0
CrashController,trigger Exception,cluster-0
WelcomeController,welcome,cluster-0
Vet,add Specialty,cluster-0
Vet,get Nr Of Specialties,cluster-0
Vet,get Specialties,cluster-0
Vet,get Specialties Internal,cluster-0
Vet,set Specialties Internal,cluster-0
VetController,add Pagination Model,cluster-0
VetController,find Paginated,cluster-0
VetController,show Resources Vet List,cluster-0
VetController,show Vet List,cluster-0
VetController,Vet Controller,cluster-0
Vets,get Vet List,cluster-0
EntityUtils,get By Id,cluster-0
Owner,add Pet,cluster-2
Owner,add Visit,cluster-2
Owner,get Address,cluster-2
Owner,get City,cluster-2
Owner,get Pet,cluster-2
Owner,get Pet,cluster-2
Owner,get Pet,cluster-2
Owner,get Pets,cluster-2
Owner,get Telephone,cluster-2
Owner,set Address,cluster-2
Owner,set City,cluster-2
Owner,set Telephone,cluster-2
Owner,to String,cluster-2
OwnerController,add Pagination Model,cluster-1
OwnerController,find Owner,cluster-1
OwnerController,find Paginated For Owners Last Name,cluster-1
OwnerController,init Creation Form,cluster-1
OwnerController,init Find Form,cluster-1
OwnerController,init Update Owner Form,cluster-1
OwnerController,Owner Controller,cluster-1
OwnerController,process Creation Form,cluster-1
OwnerController,process Find Form,cluster-1
OwnerController,process Update Owner Form,cluster-1
OwnerController,set Allowed Fields,cluster-1
OwnerController,show Owner,cluster-1
Pet,add Visit,cluster-2
Pet,get Birth Date,cluster-2
Pet,get Type,cluster-2
Pet,get Visits,cluster-2
Pet,set Birth Date,cluster-2
Pet,set Type,cluster-2
PetController,find Owner,cluster-1
PetController,find Pet,cluster-1
PetController,init Creation Form,cluster-1
PetController,init Owner Binder,cluster-1
PetController,init Pet Binder,cluster-1
PetController,init Update Form,cluster-1
PetController,Pet Controller,cluster-1
PetController,populate Pet Types,cluster-1
PetController,process Creation Form,cluster-1
PetController,process Update Form,cluster-1
PetTypeFormatter,parse,cluster-0
PetTypeFormatter,Pet Type Formatter,cluster-0
PetTypeFormatter,print,cluster-0
