class_name,method_name,cluster
PetClinicApplication,main,cluster-0
BaseEntity,get Id,cluster-1
BaseEntity,is New,cluster-1
BaseEntity,set Id,cluster-1
Person,get First Name,cluster-1
Person,get Last Name,cluster-1
Person,set First Name,cluster-1
Person,set Last Name,cluster-1
OwnerController,add Pagination Model,cluster-1
OwnerController,find Owner,cluster-1
OwnerController,find Paginated For Owners Last Name,cluster-1
OwnerController,init Creation Form,cluster-1
OwnerController,init Find Form,cluster-1
OwnerController,init Update Owner Form,cluster-1
OwnerController,Owner Controller,cluster-1
OwnerController,process Creation Form,cluster-1
OwnerController,process Find Form,cluster-1
OwnerController,process Update Owner Form,cluster-1
OwnerController,set Allowed Fields,cluster-1
OwnerController,show Owner,cluster-1
NamedEntity,get Name,cluster-2
NamedEntity,set Name,cluster-2
NamedEntity,to String,cluster-2
PetController,find Owner,cluster-2
PetController,find Pet,cluster-2
PetController,init Creation Form,cluster-2
PetController,init Owner Binder,cluster-2
PetController,init Pet Binder,cluster-2
PetController,init Update Form,cluster-2
PetController,Pet Controller,cluster-2
PetController,populate Pet Types,cluster-2
PetController,process Creation Form,cluster-2
PetController,process Update Form,cluster-2
PetTypeFormatter,parse,cluster-2
PetTypeFormatter,Pet Type Formatter,cluster-2
PetTypeFormatter,print,cluster-2
PetValidator,supports,cluster-2
PetValidator,validate,cluster-2
Owner,add Pet,cluster-3
Owner,add Visit,cluster-3
Owner,get Address,cluster-3
Owner,get City,cluster-3
Owner,get Pet,cluster-3
Owner,get Pet,cluster-3
Owner,get Pet,cluster-3
Owner,get Pets,cluster-3
Owner,get Telephone,cluster-3
Owner,set Address,cluster-3
Owner,set City,cluster-3
Owner,set Telephone,cluster-3
Owner,to String,cluster-3
Pet,add Visit,cluster-3
Pet,get Birth Date,cluster-3
Pet,get Type,cluster-3
Pet,get Visits,cluster-3
Pet,set Birth Date,cluster-3
Pet,set Type,cluster-3
Visit,get Date,cluster-3
Visit,get Description,cluster-3
Visit,set Date,cluster-3
Visit,set Description,cluster-3
Visit,Visit,cluster-3
VisitController,init New Visit Form,cluster-3
VisitController,load Pet With Visit,cluster-3
VisitController,process New Visit Form,cluster-3
VisitController,set Allowed Fields,cluster-3
VisitController,Visit Controller,cluster-3
EntityUtils,get By Id,cluster-4
CacheConfiguration,cache Configuration,cluster-5
CacheConfiguration,petclinic Cache Configuration Customizer,cluster-5
CrashController,trigger Exception,cluster-6
WelcomeController,welcome,cluster-7
Vet,add Specialty,cluster-8
Vet,get Nr Of Specialties,cluster-8
Vet,get Specialties,cluster-8
Vet,get Specialties Internal,cluster-8
Vet,set Specialties Internal,cluster-8
VetController,add Pagination Model,cluster-8
VetController,find Paginated,cluster-8
VetController,show Resources Vet List,cluster-8
VetController,show Vet List,cluster-8
VetController,Vet Controller,cluster-8
Vets,get Vet List,cluster-8
